treatment lab cultivar replicate y n
A private 1 1 44 50
A private 1 2 42 50
A private 1 3 40 50
A private 1 4 45 50
A private 2 1 43 50
A private 2 2 43 50
A private 2 3 40 50
A private 2 4 44 50
A private 3 1 40 50
A private 3 2 40 50
A private 3 3 41 50
A private 3 4 43 50
A private 4 1 47 50
A private 4 2 42 50
A private 4 3 43 50
A private 4 4 48 50
A private 5 1 44 50
A private 5 2 40 50
A private 5 3 42 50
A private 5 4 42 50
A private 6 1 43 50
A private 6 2 37 50
A private 6 3 43 50
A private 6 4 39 50
A private 7 1 49 50
A private 7 2 48 50
A private 7 3 49 50
A private 7 4 49 50
A private 8 1 48 50
A private 8 2 48 50
A private 8 3 47 50
A private 8 4 48 50
A private 9 1 44 50
A private 9 2 48 50
A private 9 3 46 50
A private 9 4 48 50
A private 10 1 50 50
A private 10 2 49 50
A private 10 3 45 50
A private 10 4 48 50
A private 11 1 46 50
A private 11 2 40 50
A private 11 3 48 50
A private 11 4 45 50
A private 12 1 43 50
A private 12 2 46 50
A private 12 3 46 50
A private 12 4 48 50
A  public 1 1 44 50
A  public 1 2 40 50
A  public 1 3 45 50
A  public 1 4 43 50
A  public 2 1 41 50
A  public 2 2 39 50
A  public 2 3 43 50
A  public 2 4 40 50
A  public 3 1 40 50
A  public 3 2 35 50
A  public 3 3 40 50
A  public 3 4 37 50
A  public 4 1 41 50
A  public 4 2 45 50
A  public 4 3 42 50
A  public 4 4 43 50
A  public 5 1 43 50
A  public 5 2 45 50
A  public 5 3 47 50
A  public 5 4 42 50
A  public 6 1 40 50
A  public 6 2 41 50
A  public 6 3 39 50
A  public 6 4 41 50
A  public 7 1 47 50
A  public 7 2 47 50
A  public 7 3 49 50
A  public 7 4 47 50
A  public 8 1 45 50
A  public 8 2 45 50
A  public 8 3 44 50
A  public 8 4 43 50
A  public 9 1 41 50
A  public 9 2 43 50
A  public 9 3 43 50
A  public 9 4 44 50
A  public 10 1 47 50
A  public 10 2 47 50
A  public 10 3 43 50
A  public 10 4 49 50
A  public 11 1 43 50
A  public 11 2 40 50
A  public 11 3 43 50
A  public 11 4 42 50
A  public 12 1 45 50
A  public 12 2 45 50
A  public 12 3 45 50
A  public 12 4 42 50
B private 1 1 23 50
B private 1 2 22 50
B private 1 3 29 50
B private 1 4 24 50
B private 2 1 30 50
B private 2 2 37 50
B private 2 3 34 50
B private 2 4 33 50
B private 3 1 11 50
B private 3 2 17 50
B private 3 3 17 50
B private 3 4 20 50
B private 4 1 32 50
B private 4 2 23 50
B private 4 3 23 50
B private 4 4 25 50
B private 5 1 33 50
B private 5 2 31 50
B private 5 3 32 50
B private 5 4 34 50
B private 6 1 15 50
B private 6 2 15 50
B private 6 3 24 50
B private 6 4 15 50
B private 7 1 36 50
B private 7 2 38 50
B private 7 3 48 50
B private 7 4 48 50
B private 8 1 42 50
B private 8 2 32 50
B private 8 3 36 50
B private 8 4 38 50
B private 9 1 33 50
B private 9 2 40 50
B private 9 3 38 50
B private 9 4 44 50
B private 10 1 24 50
B private 10 2 38 50
B private 10 3 28 50
B private 10 4 27 50
B private 11 1 38 50
B private 11 2 36 50
B private 11 3 36 50
B private 11 4 36 50
B private 12 1 30 50
B private 12 2 35 50
B private 12 3 35 50
B private 12 4 36 50
B  public 1 1 24 50
B  public 1 2 23 50
B  public 1 3 27 50
B  public 1 4 28 50
B  public 2 1 25 50
B  public 2 2 25 50
B  public 2 3 30 50
B  public 2 4 28 50
B  public 3 1 16 50
B  public 3 2 18 50
B  public 3 3 19 50
B  public 3 4 19 50
B  public 4 1 31 50
B  public 4 2 30 50
B  public 4 3 32 50
B  public 4 4 36 50
B  public 5 1 31 50
B  public 5 2 27 50
B  public 5 3 30 50
B  public 5 4 32 50
B  public 6 1 26 50
B  public 6 2 25 50
B  public 6 3 28 50
B  public 6 4 21 50
B  public 7 1 42 50
B  public 7 2 45 50
B  public 7 3 42 50
B  public 7 4 41 50
B  public 8 1 36 50
B  public 8 2 32 50
B  public 8 3 34 50
B  public 8 4 36 50
B  public 9 1 34 50
B  public 9 2 34 50
B  public 9 3 42 50
B  public 9 4 32 50
B  public 10 1 19 50
B  public 10 2 23 50
B  public 10 3 29 50
B  public 10 4 23 50
B  public 11 1 42 50
B  public 11 2 30 50
B  public 11 3 34 50
B  public 11 4 50 50
B  public 12 1 31 50
B  public 12 2 39 50
B  public 12 3 32 50
B  public 12 4 26 50
